Start_X,Start_Y,Goal_X,Goal_Y,Path_Length,Traversability_Cost
35,25,84,73,22,149.8122679220485
35,25,85,73,21,144.18958659351702
35,25,91,81,26,181.75706010609954
35,25,88,74,28,170.59579443831313
35,25,88,70,25,167.9631834643032
35,25,87,79,28,176.94555967723232
35,25,85,67,19,130.67820115858274
35,25,86,68,24,162.86479892524994
35,25,85,67,21,142.74740664081673
35,25,88,81,25,173.67160714439075
35,25,85,79,30,197.65350523955522
35,25,84,75,27,184.09091268000952
35,25,90,76,25,169.44091523611232
35,25,91,65,22,145.45585476407203
35,25,85,73,22,151.27647623336443
35,25,84,70,26,168.7302794110431
35,25,86,76,26,164.4849520412771
35,25,89,81,24,163.86892070953525
35,25,85,73,22,149.45743042059294
35,25,85,80,24,166.11848144983855
35,25,91,65,20,134.65526395459622
35,25,85,80,25,166.24284919819695
35,25,62,36,9,56.18862114641108
35,25,63,38,10,61.74342240851686
35,25,66,37,11,64.58293772865443
35,25,67,35,10,62.53165927913166
35,25,68,37,14,89.93286118887585
35,25,65,35,9,57.12677616778608
35,25,65,35,9,55.7081434701277
35,25,67,38,15,85.62121724774403
35,25,66,37,15,97.92609817862798
35,25,64,37,9,57.93684852649622
35,25,61,34,11,69.5331057141749
35,25,87,99,34,192.91059658597257
35,25,83,98,24,159.51252811430595
35,25,88,97,29,215.4613589971813
35,25,86,94,25,170.885824279179
35,25,80,94,27,164.67712465861456
35,25,89,94,30,193.26426686931887
35,25,86,99,28,171.48680540810045
35,25,81,96,28,190.10780613583856
45,25,36,76,16,103.18823220971548
45,25,38,73,16,109.04959061144932
45,25,37,72,14,91.94490997437005
45,25,33,78,20,136.00761268511295
45,25,38,75,17,115.80544527191516
45,25,36,70,15,97.42821455955055
45,25,37,70,21,126.33913304723715
45,25,36,80,18,122.89182395867547
45,25,40,79,18,117.60415059348182
45,25,37,77,29,178.86423411527073
45,25,34,76,18,123.82796948702688
45,25,34,79,17,116.87926689373356
45,25,38,77,15,101.06798336334172
45,25,37,51,9,55.824117029902474
45,25,31,53,10,59.46488059517693
45,25,34,54,9,55.65833288388591
45,25,31,53,11,70.49080004755643
45,25,38,53,8,49.58244338898404
45,25,35,54,9,57.13256336070279
45,25,35,50,8,49.13839497534341
45,25,34,50,7,43.11787172013049
45,25,31,50,10,60.35051690138686
45,25,31,54,10,60.748079744192154
45,25,36,50,8,49.5165825764544
45,25,39,50,7,40.30257892000269
45,25,30,57,10,63.22810024459945
45,25,34,54,13,71.1816124791044
45,25,36,53,9,56.60284990158435
45,25,35,51,10,61.78293629092965
45,25,33,55,12,78.2886240495546
45,25,34,50,9,53.751921218801726
45,25,31,57,9,56.983060209510505
45,25,84,43,19,105.34723587339143
45,25,83,35,13,81.98003811264323
45,25,81,33,11,71.55744061737447
45,25,82,33,11,69.29103530908037
45,25,80,33,11,71.88403127086796
45,25,84,38,12,74.84695477489672
45,25,84,38,14,91.3049101323314
45,25,79,32,10,63.36275881521796
45,25,80,34,10,64.38238528936378
45,25,82,37,13,85.8410510995167
45,25,82,43,18,121.43984775684166
45,25,83,41,15,100.36076008522865
45,25,82,34,18,123.0804475230186
45,25,84,35,14,92.02287044608241
45,25,80,33,12,77.09875362349327
45,25,87,74,22,154.30784998881336
45,25,90,76,24,165.37553162684236
45,25,89,67,21,152.25924180717857
45,25,84,73,25,160.16190567496272
45,25,85,73,26,169.94649441937878
45,25,91,81,24,158.39207223150953
45,25,88,74,20,134.99244160228827
45,25,88,70,20,136.12736918554629
45,25,87,79,26,166.3662586802033
45,25,85,67,19,139.10635701705525
45,25,86,68,23,160.14639341223108
45,25,85,67,21,139.37777394495384
45,25,88,81,31,208.77735998307978
45,25,85,79,30,179.2190899982265
45,25,84,75,23,163.61493897644667
45,25,90,76,21,144.31646909119203
45,25,91,65,22,150.50549505372055
45,25,85,73,19,130.4334265923776
45,25,84,70,25,149.30085341914545
45,25,86,76,27,183.35262230873795
45,25,89,81,27,171.06169375209333
45,25,85,73,24,156.76746371253293
45,25,85,80,25,167.98261316559632
45,25,91,65,20,135.69858694454072
45,25,85,80,23,156.79510292782578
45,25,62,36,6,33.94809805157107
45,25,63,38,6,33.34032496405039
45,25,66,37,9,55.55057058218833
45,25,67,35,8,50.20012428044361
45,25,68,37,8,48.43252186489359
45,25,65,35,8,49.61219565686706
45,25,65,35,7,41.97557885513399
45,25,67,38,8,48.13729756979436
45,25,66,37,8,46.03471470300215
45,25,64,37,8,39.106971679631286
45,25,61,34,5,27.73602077055943
45,25,87,99,24,159.90699460055194
45,25,83,98,27,163.08482687905365
45,25,88,97,38,211.27573336116458
45,25,86,94,26,168.4992015911484
45,25,80,94,22,148.51449272877994
45,25,89,94,32,210.1797679777243
45,25,86,99,28,180.10399155187596
45,25,81,96,34,195.61285186561494
55,25,36,76,16,109.8949855141559
55,25,38,73,16,110.61943706962619
55,25,37,72,18,120.33004516938942
55,25,33,78,20,137.96918003284233
55,25,38,75,21,140.0464118266066
55,25,36,70,21,141.20343439684913
55,25,37,70,21,136.4677393731417
55,25,36,80,19,126.90897675255067
55,25,40,79,20,135.9336473084284
55,25,37,77,20,132.27502507078194
55,25,34,76,16,108.61966496668433
55,25,34,79,17,116.51303268428317
55,25,38,77,20,135.9135254719343
55,25,37,51,9,53.15212383981882
55,25,31,53,11,66.79446421218884
55,25,34,54,11,64.13078142184823
55,25,31,53,17,114.15192572221248
55,25,38,53,10,62.55673297244094
55,25,35,54,12,73.81004305719664
55,25,35,50,13,84.62099383753642
55,25,34,50,9,57.116473453482534
55,25,31,50,11,64.99754377854985
55,25,31,54,10,63.01776753973938
55,25,36,50,9,54.305135521168744
55,25,39,50,8,46.95792592463598
55,25,30,57,17,114.75740978547213
55,25,34,54,10,62.24897645829708
55,25,36,53,8,50.58359951868321
55,25,35,51,17,108.55276763503662
55,25,33,55,11,66.29219277533674
55,25,34,50,11,67.6642661227896
55,25,31,57,11,72.41773000342674
55,25,84,43,14,89.89270383305964
55,25,83,35,14,92.47574523231633
55,25,81,33,9,53.72696406721127
55,25,82,33,14,91.7934543280119
55,25,80,33,8,49.52553955659988
55,25,84,38,9,56.829206329388015
55,25,84,38,9,57.36544058834244
55,25,79,32,7,43.68153320940238
55,25,80,34,11,52.25338489348529
55,25,82,37,9,55.172546388347236
55,25,82,43,11,70.10828145421816
55,25,83,41,22,133.43444335311997
55,25,82,34,13,70.48011087444024
55,25,84,35,9,58.46973906322584
55,25,80,33,9,48.01687988853788
55,25,87,74,23,149.7190444826979
55,25,90,76,33,232.02816989134678
55,25,89,67,16,113.81140643487689
55,25,84,73,21,141.96328409128392
55,25,85,73,25,170.63854194250428
55,25,91,81,20,129.92271737359266
55,25,88,74,27,201.04915571831776
55,25,88,70,17,113.09744784383676
55,25,87,79,20,136.00544636489943
55,25,85,67,17,112.71963414687954
55,25,86,68,21,124.19073897667415
55,25,85,67,24,154.11143303980396
55,25,88,81,23,156.81860685743337
55,25,85,79,20,132.2108741822727
55,25,84,75,22,145.05816518297254
55,25,90,76,20,133.7157314117341
55,25,91,65,15,99.26156450517749
55,25,85,73,22,148.51127333360915
55,25,84,70,18,121.71427301510097
55,25,86,76,22,150.7302898345454
55,25,89,81,22,156.46557250189352
55,25,85,73,20,133.48717660877134
55,25,85,80,23,152.89284545260128
55,25,91,65,21,135.74452662519218
55,25,85,80,20,136.36871165707342
55,25,62,36,4,21.81372821605225
55,25,63,38,5,28.743058372300112
55,25,66,37,5,28.259168374919636
55,25,67,35,5,24.598014721193664
55,25,68,37,5,27.52985296088738
55,25,65,35,7,41.54729668326516
55,25,65,35,8,45.215383081808824
55,25,67,38,12,78.29552257079244
55,25,66,37,5,24.0296801263847
55,25,64,37,5,27.66944155303318
55,25,61,34,4,20.680257476368844
55,25,87,99,27,191.9430612943889
55,25,83,98,28,202.3569339653886
55,25,88,97,27,166.2761930604384
55,25,86,94,29,190.23499707614312
55,25,80,94,29,179.0088245128403
55,25,89,94,35,236.79276042373345
55,25,86,99,26,178.38729252024135
55,25,81,96,26,180.98279196966547
65,25,36,76,24,149.6529635043864
65,25,38,73,23,157.51280117979928
65,25,37,72,23,157.5963687049367
65,25,33,78,20,132.65619124182848
65,25,38,75,25,168.0067801838316
65,25,36,70,20,133.51398050606693
65,25,37,70,17,116.74117586633025
65,25,36,80,23,143.71479296394708
65,25,40,79,19,127.64360206371308
65,25,37,77,29,191.26325790181556
65,25,34,76,19,128.91226648884714
65,25,34,79,25,170.10795550607338
65,25,38,77,20,138.03524663630367
65,25,37,51,12,76.36683398029521
65,25,31,53,13,82.83463614178811
65,25,34,54,18,120.26458947256175
65,25,31,53,14,89.71948088932777
65,25,38,53,14,91.61239454809898
65,25,35,54,13,81.9347014220155
65,25,35,50,14,91.90383288993466
65,25,34,50,16,105.82190757199488
65,25,31,50,12,79.73208008233637
65,25,31,54,14,93.91810294670083
65,25,36,50,16,97.17047583149791
65,25,39,50,10,63.89267677045191
65,25,30,57,16,107.78920871938298
65,25,34,54,14,92.85518931663545
65,25,36,53,13,82.24486217368991
65,25,35,51,19,124.32387062925079
65,25,33,55,15,95.43564852909279
65,25,34,50,13,87.21113541626002
65,25,31,57,14,92.72687257098757
65,25,84,43,10,60.5717076658626
65,25,83,35,13,77.27756948801851
65,25,81,33,5,28.076678130719223
65,25,82,33,7,39.93113651707972
65,25,80,33,7,41.0147092698618
65,25,84,38,9,48.20685743326906
65,25,84,38,11,65.74195224831567
65,25,79,32,5,28.552724373900347
65,25,80,34,6,29.192069165477577
65,25,82,37,8,49.20413076060521
65,25,82,43,14,93.38112869382262
65,25,83,41,20,143.64549445053603
65,25,82,34,10,64.14163628110698
65,25,84,35,11,71.16496610954819
65,25,80,33,7,37.881316941768105
65,25,87,74,17,111.34982442767347
65,25,90,76,18,119.49772563375205
65,25,89,67,16,108.08043326314676
